"Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"05/06/2018",47,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"05/07/2018",54,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"05/08/2018",51,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"05/09/2018",67,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"05/10/2018",61,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"05/11/2018",80,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"05/12/2018",64,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"05/13/2018",58,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"05/14/2018",50,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"05/15/2018",36,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"05/16/2018",26,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"05/17/2018",27,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"05/18/2018",38,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"05/19/2018",37,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"05/20/2018",36,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"05/21/2018",41,"Linville Falls","Ozone","Avery",35.972347,-81.933072
"05/22/2018",30,"Linville Falls","Ozone","Avery",35.972347,-81.933072
